Word	Part of Speech	Origin	Definition
rapport	noun	French	a relationship of mutual understanding or trust and agreement between people
rapprochement	noun	French	the reestablishing of cordial relations
rariora	noun	New Latin	rare collector's items
ratafia	noun	French	macaroon flavored with ratafia liqueur
rataplan	noun	French	the sound made by beating a drum
ratiocinate	verb	Latin	reason methodologically and logically
raucous	adjective	Latin	unpleasantly loud and harsh
ravigote	noun	French	veloute sauce seasoned with herbs and shallots and capers
realgar	noun	Middle English	a rare soft orange mineral consisting of arsenic sulphide
realpolitik	noun	German	politics based on practical rather than moral or ideological considerations
rebarbative	adjective	French	serving or tending to repel
rebus	noun	Latin	a puzzle where you decode a message consisting of pictures representing syllables and words
recalcitrant	adjective	Late Latin	marked by stubborn resistance to authority
recant	verb	Latin	formally reject or disavow a formerly held belief, usually under pressure
recapitulate	verb	Late Latin	summarize briefly
recede	verb	Middle English	become faint or more distant
receptacle	noun	Middle English	a container that is used to put or keep things in
recidivist	noun	French	someone who lapses into previous undesirable patterns of behavior
recipient	noun	Latin	a person who gets something
reciprocal	adjective	Latin	of or relating to the multiplicative inverse of a quantity or function
reclusive	adjective	Middle English	providing privacy or seclusion
recognizance	noun	Middle English	a security entered into before a court with a condition to perform some act required by law
recommended	adjective	Middle English	mentioned as worthy of acceptance
reconcilable	adjective	Middle English	capable of being reconciled
recondite	adjective	Latin	difficult to penetrate
recreant	adjective	Middle English	having deserted a cause or principle
recriminate	verb	Medieval Latin	return an accusation against someone or engage in mutual accusations
recriminatory	adjective	Medieval Latin	countering one charge with another
rectification	noun	Middle English	determination of the length of a curve
rectitude	noun	Middle English	righteousness as a consequence of being honorable and honest
recumbent	adjective	Latin	lying down
recuperate	verb	Latin	get over an illness or shock
recurrence	noun	Middle English	happening again
recusant	adjective	Latin	refusing to submit to authority
redaction	noun	French	the act of putting something in writing
redundant	adjective	Latin	repetition of same sense in different words
reevaluate	verb	Middle English	revise or renew one's assessment
referendum	noun	New Latin	a legislative act is referred for final approval to a popular vote by the electorate
refulgent	adjective	Latin	radiating or as if radiating light
refute	verb	Latin	prove to be false or incorrect
regale	verb	French	provide with choice or abundant food or drink
reggae	noun	origin unknown	popular music originating in the West Indies
regicide	noun	Latin	the act of killing a king
regiment	noun	Middle English	army unit smaller than a division
regurgitate	verb	Medieval Latin	repeat after memorization
rehabilitation	noun	Medieval Latin	the restoration of someone to a useful place in society
reify	verb	Latin	consider an abstract concept to be real
reiterate	verb	Middle English	"to say, state, or perform again"
relegate	verb	Latin	assign to a class or kind
religious	adjective	Middle English	having or showing belief in and reverence for a deity
relinquished	adjective	Middle English	given up often unwillingly
reliquary	noun	French	a container where religious relics are stored or displayed
reluctantly	adverb	Latin	with reluctance
remand	noun	Middle English	the act of sending an accused person back into custody to await trial
remora	noun	Late Latin	marine fishes with a flattened elongated body and a sucking disk on the head for attaching to large fish or moving objects
remuda	noun	American Spanish	the herd of horses from which those to be used the next day are chosen
renaissance	noun	French	the period of European history at the close of the Middle Ages and the rise of the modern world
renascent	adjective	Latin	rising again as to new life and vigor
rendezvous	noun	Middle French	a meeting planned at a certain time and place
reniform	adjective	New Latin	of a leaf or bean shape resembling the shape of kidney
renounce	verb	Middle English	cast off or disown
repartee	noun	French	adroitness and cleverness in reply
repechage	noun	French	a race in which runners-up in the eliminating heats compete for a place in the final race
repercussion	noun	Latin	a remote or indirect consequence of some action
repertoire	noun	French	a collection of works that an artist or company can perform and do perform for short intervals on a regular schedule
replenish	verb	Middle English	fill something that had previously been emptied
replete	adj.deeply	Middle English	filled or permeated
reprisal	noun	Middle English	a retaliatory action against an enemy in wartime
reprobate	adjective	Middle English	marked by immorality
requiem	noun	Middle English	a Mass celebrated for the dead
Requiem	noun	Middle English	a Mass celebrated for the dead
requisite	adjective	Middle English	necessary for relief or supply
reredos	noun	Middle English	a painted or carved screen placed above and behind an altar or communion table
rescission	noun	Late Latin	the act of rescinding
reseau	noun	French	a network of fine lines used by astronomers as a reference for measurements on star photographs
reservoir	noun	French	tank used for collecting and storing a liquid
resile	verb	Late Latin and Latin	return to the original position or state after being stretched or compressed
resin	noun	Middle English	any of a class of solid or semisolid viscous substances obtained either as exudations from certain plants or prepared by polymerization of simple molecules
resurgent	adjective	Latin	rising again as to new life and vigor
resuscitate	verb	Latin	cause to regain consciousness
reticle	noun	Latin	"a network of fine lines, dots, cross hairs, or wires in the focal plane of the eyepiece of an optical instrument"
reticule	noun	French	a woman's drawstring handbag
retina	noun	Middle English	the light-sensitive membrane covering the back wall of the eyeball
retinue	noun	Middle English	the group following and attending to some important person
retrorse	adjective	Latin	bent or curved backward or downward
revenant	adjective	French	of or relating to or typical of a revenant
revenue	noun	Middle English	the entire amount of income before any deductions are made
revocable	adjective	Middle English	capable of being revoked or annulled
rhabdomancer	noun	Late Greek	someone who uses a divining rod to find underground water
rhabdomancy	noun	Late Greek	searching for underground water or minerals by using a dowsing rod
rhea	noun	New Latin	larger of two tall fast-running flightless birds similar to ostriches but three-toed
rheological	adjective	International Scientific Vocabulary	of or relating to rheology
rhinencephalon	noun	New Latin	a center in the cerebral hemispheres that governs the sense of smell in lower animals
rhinitis	noun	New Latin	an inflammation of the mucous membrane lining the nose
rhinoceros	noun	Middle English	massive powerful herbivorous odd-toed ungulate of southeast Asia and Africa having very thick skin and one or two horns on the snout
rhizomatous	adjective	International Scientific Vocabulary	producing or possessing or resembling rhizomes
rhodochrosite	noun	German	a mineral consisting of manganese carbonate
rhododendron	noun	New Latin	any shrub of the genus Rhododendron: evergreen shrubs or small shrubby trees having leathery leaves and showy clusters of campanulate flowers
rhodopsin	noun	International Scientific Vocabulary	a red photopigment in the retinal rods of vertebrates
rhonchus	noun	Late Greek	a sound like whistling or snoring that is heard with a stethoscope during expiration as air passes through obstructed channels
rhubarb	noun	Middle English	plants having long green or reddish acidic leafstalks growing in basal clumps
rhumb	noun	Spanish	a line on a sphere that cuts all meridians at the same angle
rhythm	noun	Middle French and Latin	recurring at regular intervals
riant	adjective	Middle French	showing or feeling mirth or pleasure or happiness
ribald	adjective	Middle English	humorously vulgar
rickettsial	adjective	New Latin	relating to or caused by rickettsias
ricochet	noun	French	a glancing rebound
ricotta	noun	Italian	soft Italian cheese like cottage cheese
rictus	noun	New Latin	a gaping grimace
ridiculously	adverb	Latin	so as to arouse or deserve laughter
rigatoni	noun	Italian	tubular pasta in short ribbed pieces
rime	noun	Middle English	correspondence in the sounds of two or more lines
riparian	adjective	Latin	of or relating to or located on the banks of a river or stream
risible	adjective	Late Latin	arousing or provoking laughter
rissole	noun	French	minced cooked meat or fish coated in egg and breadcrumbs and fried in deep fat
ritardando	adjective	Italian	gradually decreasing in tempo
rococo	adjective	French	having excessive asymmetrical ornamentation
rollick	verb	origin unknown	play boisterously
romaine	noun	French	lettuce with long dark-green leaves in a loosely packed elongated head
rondeau	noun	Middle French	a French verse form of 10 or 13 lines running on two rhymes
rorqual	noun	French	any of several baleen whales of the family Balaenopteridae having longitudinal grooves on the throat and a small pointed dorsal fin
rosemaling	noun	Norwegian	a Scandinavian style of carved or painted decoration consisting of floral motifs
roseola	noun	New Latin	any red eruption of the skin
rotogravure	noun	German	printed material produced by an intaglio printing process in a rotary press
rottweiler	noun	German	German breed of large vigorous short-haired cattle dogs
rouge	noun	French	makeup consisting of a pink or red powder applied to the cheeks
roulade	noun	French	an elaborate run of several notes sung to one syllable
rouleau	noun	French	a roll of coins wrapped in paper
roulette	noun	French	a gambling game in which players bet on which compartment of a revolving wheel a small ball will come to rest in
roundelay	noun	Middle English	a song in which a line or phrase is repeated as the refrain
roux	noun	French	a mixture of fat and flour heated and used as a basis for sauces
rowel	noun	Middle English	a small spiked wheel at the end of a spur
rubato	noun	Italian	a flexible tempo
rubefacient	noun	Latin	a medicine for external application that produces redness of the skin
Rubicon	noun	Latin	a line that when crossed permits of no return and typically results in irrevocable commitment
rubric	noun	Middle English	an authoritative rule
ruminate	verb	Latin	chew the cuds
rupicolous	adjective	Latin	composed of or inscribed on rock
ruse	noun	French	a deceptive maneuver
russet	adjective	Middle English	of brown with a reddish tinge
sabbatical	adjective	Late Latin	of or relating to sabbatical leave
sabot	noun	French	a shoe carved from a single block of wood
sabotage	noun	French	a deliberate act of destruction or disruption in which equipment is damaged
saboteur	noun	French	someone who commits sabotage or deliberately causes wrecks
sabra	noun	Modern Hebrew	a native-born Israeli
saccade	noun	French	"a rapid, jerky movement of the eyes between positions of rest"
saccadic	adjective	French	of or related to the rapid movement of the eyes between points of fixation
saccharinity	noun	Latin	the excessive sweetness of saccharin
sacerdotal	adjective	Middle English	of or relating to a belief in sacerdotalism
sachem	noun	Narragansett	a chief of a North American tribe or confederation
sacristan	noun	Middle English	an officer of the church who is in charge of sacred objects
sacristy	noun	Middle English	a room in a church where sacred vessels and vestments are kept or meetings are held
sacrosanct	adjective	Latin	must be kept sacred
saffron	noun	Middle English	dried pungent stigmas of the Old World saffron crocus
sagittal	adjective	Middle English	located in a plane that is parallel to the central plane of the sagittal suture
sagittarius	noun	Latin	type genus of the Sagittariidae
sagittate	adjective	Latin	of a leaf shape
salaam	noun	Arabic	a deep bow
salmon	adjective	Middle English	of orange tinged with pink
salmonellosis	noun	New Latin	a kind of food poisoning caused by eating foods contaminated with Salmonella typhimurium
saltire	noun	Middle English	a cross with diagonal bars of equal length
salutary	adjective	Middle French	tending to promote physical well-being
salvageable	adjective	French	capable of being saved from ruin
salve	noun	Middle English	anything that remedies or heals or soothes
salve	noun	Middle English	anything that remedies or heals or soothes
salvo	noun	Medieval Latin	a sudden outburst of cheers
salvo	noun	Medieval Latin	a sudden outburst of cheers
samara	noun	New Latin	a winged often one-seed indehiscent fruit as of the ash or elm or maple
samiel	noun	Turkish	a violent hot sand-laden wind on the deserts of Arabia and North Africa
samizdat	noun	Russian	a system of clandestine printing and distribution of dissident or banned literature
samovar	noun	Russian	a metal urn with a spigot at the base
sanguine	adjective	Middle English	confidently optimistic and cheerful
sanicle	noun	Middle English	any of several plants sometimes held to have healing powers
sapiential	adjective	Middle English	"characterized by wisdom, especially the wisdom of God"
saponaceous	adjective	New Latin	resembling or having the qualities of soap
saponin	noun	French	any of various plant glucosides that form soapy lathers when mixed and agitated with water
saporous	adjective	Late Latin	full of flavor
sapphire	adjective	Middle English	of something having the color of a blue sapphire
saprophagous	adjective	New Latin	feeding on dead or decaying animal matter
sarcoidosis	noun	New Latin	a chronic disease of unknown cause marked by the formation of nodules in the lungs and liver and lymph glands and salivary glands
sardonic	adjective	French	disdainfully or ironically humorous
sardonically	adverb	French	in a sarcastic manner
sarsaparilla	noun	Spanish	carbonated drink flavored with an extract from sarsaparilla root or with birch oil and sassafras
sartorial	adjective	Medieval Latin	of or relating to a tailor or to tailoring
sashimi	noun	Japanese	very thinly sliced raw fish
sassafras	noun	Spanish	dried root bark of the sassafras tree
satellite	adjective	Middle French	surrounding and dominated by a central authority or power
satiety	noun	Middle French	the state of being satisfactorily full and unable to take on more
satori	noun	Japanese	a state of sudden spiritual enlightenment
sauerbraten	noun	German	pot roast marinated several days in seasoned vinegar before cooking
saurian	adjective	New Latin	of or relating to lizards
saxicolous	adjective	Latin	growing on or living among rocks
saxifrage	noun	Middle English	any of various plants of the genus Saxifraga
sayonara	noun	Japanese	a farewell remark
scabrous	adjective	Latin	dealing with salacious or indecent material
scalene	adjective	Late Latin	of or relating to any of the scalene muscles
scalpel	noun	Latin	a thin straight surgical knife used in dissection and surgery
scaphoid	adjective	New Latin	shaped like a boat
scarabaeus	noun	Latin	scarabaeid beetle considered divine by ancient Egyptians
schadenfreude	noun	German	delight in another person's misfortune
schefflera	noun	New Latin	large genus of shrubby and climbing tropical plants having showy digitately compound foliage
scherzo	noun	Italian	a fast movement
schizocarp	noun	International Scientific Vocabulary	a dry dehiscent fruit that at maturity splits into two or more parts each with a single seed
schizoid	adjective	International Scientific Vocabulary	marked by withdrawal and inability to form close relationships
schnauzer	noun	German	old German breed of sturdy black or greyish wire-haired terriers having a blunt muzzle ranging in size from fairly small to very large
schnitzel	noun	German	deep-fried breaded veal cutlets
scholar	noun	Middle English	a learned person
schottische	noun	German	a German round dance resembling a slow polka
sciatica	noun	Middle English	neuralgia along the sciatic nerve
sciolism	noun	Late Latin	pretentious superficiality of knowledge
sciolistic	adjective	Late Latin	showing frivolous or superficial interest
scission	noun	Middle English	the act of dividing by cutting or splitting
sclerosis	noun	Middle English	any pathological hardening or thickening of tissue
scopolamine	noun	German	an alkaloid with anticholinergic effects that is used as a sedative and to treat nausea and to dilate the pupils in ophthalmic procedures
scrimmage	noun	Middle English	practice play between a football team's squads
scrivener	noun	Middle English	someone employed to make written copies of documents and manuscripts
scruples	noun	Middle English	motivation deriving logically from ethical or moral principles that govern a person's thoughts and actions
scrupulously	adverb	Middle English	with extreme conscientiousness
scrutiny	noun	Latin	a prolonged intense look
scullery	noun	Middle English	a small room next to the kitchen
sculpin	noun	origin unknown	any of numerous spiny large-headed usually scaleless scorpaenoid fishes with broad mouths
Scylla	noun	Latin	a sea nymph transformed into a sea monster who lived on one side of a narrow strait
sebaceous	adjective	Latin	containing an unusual amount of grease or oil
secession	noun	Latin	formal separation from an alliance or federation
sedative	adjective	Middle English	tending to soothe or tranquilize
sedentary	adjective	Middle French	requiring sitting or little activity
seder	noun	Hebrew	the ceremonial dinner on the first night of Passover
sedition	noun	Middle English	an illegal action inciting resistance to lawful authority and tending to cause the disruption or overthrow of the government
seersucker	noun	Hindi	a light puckered fabric
segno	noun	Italian	a notation written at the beginning or end of a passage that is to be repeated
segregate	noun	Latin	someone who is or has been segregated
segue	noun	Italian	the act of changing smoothly from one state or situation to another
seiche	noun	French	a wave on the surface of a lake or landlocked bay
seidel	noun	German	a glass for beer
seigneur	noun	Middle French	a man of rank in the ancien regime
seine	noun	Middle English	"a large fishnet that hangs vertically, with floats at the top and weights at the bottom"
selenium	noun	New Latin	a toxic nonmetallic element related to sulfur and tellurium
seminary	noun	Middle English	a private place of education for the young
semiotics	noun	Greek	a philosophical theory of the functions of signs and symbols
seneschal	noun	Middle English	the chief steward or butler of a great household
senile	adjective	Latin	mentally or physically infirm with age
sententious	adjective	Middle English	abounding in or given to pompous or aphoristic moralizing
sentient	adjective	Latin	endowed with feeling and unstructured consciousness
separability	noun	Middle English	the capability of being separated
sepia	noun	Latin	type genus of the Sepiidae
septuagenarian	noun	Late Latin	someone whose age is in the seventies
Septuagint	noun	Late Latin	the oldest Greek version of the Old Testament
sequel	noun	Middle English	a part added to a book or play that continues and extends it
sequela	noun	New Latin	any abnormality following or resulting from a disease or injury or treatment
seraphic	adjective	Late Latin	of or relating to an angel of the first order
serenade	noun	French	a song characteristically played outside the house of a woman
serenely	adverb	Middle English	in a peacefully serene manner
serf	noun	French	a person who is bound to the land and owned by the feudal lord
serge	noun	Middle English	a twilled woolen fabric
seriatim	adverb	Medieval Latin	in a series
sericeous	adjective	Late Latin	covered with fine soft hairs or down
serictery	noun	New Latin	silk-producing gland of insects or spiders
serology	noun	International Scientific Vocabulary	the branch of medical science that deals with serums
serrated	adjective	Late Latin	notched like a saw with teeth pointing toward the apex
serrated	adjective	Late Latin	notched like a saw with teeth pointing toward the apex
serrulate	adjective	New Latin	minutely serrated
serval	noun	French	slender long-legged African wildcat having large untufted ears and tawny black-spotted coat
sesamoid	noun	Greek	any of several small round bones formed in a tendon where it passes over a joint
sesquipedalian	adjective	Latin	given to the overuse of long words
sessile	adjective	Latin	attached directly by the base
seta	noun	New Latin	a stiff hair or bristle
sgraffito	noun	Italian	a ceramic or mural decoration made by scratching off a surface layer to reveal the ground
shekel	noun	Hebrew	the basic unit of money in Israel
shenanigan	noun	origin unknown	reckless or malicious behavior that causes discomfort or annoyance in others
shepherd	noun	Middle English	a clergyman who watches over a group of people
shibboleth	noun	Hebrew	a manner of speaking that is distinctive of a particular group of people
shogi	noun	Japanese	a form of chess played on a board of 81 squares
shoji	noun	Japanese	a translucent screen made of a wooden frame covered with rice paper
shuddering	adjective	Middle English	shaking convulsively or violently
sidereal	adjective	Latin	determined by daily motion of the stars
sieve	noun	Middle English	a strainer for separating lumps from powdered material or grading particles
sigmoid	adjective	Greek	of or relating to the sigmoid flexure in the large intestine
Sikhism	noun	Hindi and Urdu	the doctrines of a monotheistic religion founded in northern India in the 16th century by Guru Nanak and combining elements of Hinduism and Islam
silenus	noun	Latin	the chief satyr in the service of Bacchus
silhouette	noun	French	a drawing of the outline of an object
silicon	noun	New Latin	a tetravalent nonmetallic element
simian	adjective	Latin	relating to or resembling an ape
similitude	noun	Middle English	a duplicate copy
simnel	noun	Middle English	a fruitcake eaten at mid-Lent or Easter or Christmas
simony	noun	Middle English	traffic in ecclesiastical offices or preferments
simulacrum	noun	Middle English	an insubstantial or vague semblance
simulate	verb	Latin	make a pretence of
sincerely	adverb	Middle French	written formula for ending a letter
sinecure	noun	Medieval Latin	an office that involves minimal duties
sinew	noun	Middle English	possessing muscular strength
Sioux	noun	American French	a member of a group of North American Indian peoples who spoke a Siouan language and who ranged from Lake Michigan to the Rocky Mountains
sirenian	noun	New Latin	any of two families of large herbivorous aquatic mammals with paddle-shaped tails and flipper-like forelimbs and no hind limbs
skeleton	noun	New Latin	the internal supporting structure that gives an artifact its shape
skiagram	noun	International Scientific Vocabulary	a photographic image produced on a radiosensitive surface by radiation other than visible light
skirret	noun	Middle English	an Asiatic herb cultivated in Europe for its sweet edible tuberous root
sloe	noun	Middle English	small sour dark purple fruit of especially the Allegheny plum bush
sluice	noun	Middle English	conduit that carries a rapid flow of water controlled by a sluicegate
soilure	noun	Middle English	the act of soiling something
soiree	noun	French	a party of people assembled in the evening
sojourner	noun	Middle English	a temporary resident
solder	noun	Middle English	an alloy used when melted to join two metal surfaces
solecism	noun	Latin	a socially awkward or tactless act
solenoid	noun	French	a coil of wire around an iron core
solfeggio	noun	Italian	a voice exercise
soliloquy	noun	Late Latin	a dramatic speech intended to give the illusion of unspoken reflections
solipsism	noun	Latin	the philosophical theory that the self is all that you know to exist
solitaire	noun	French	a card game played by one person
solleret	noun	French	armor plate that protects the foot
solstice	noun	Middle English	either of the two times of the year when the sun is at its greatest distance from the celestial equator
sommelier	noun	French	a waiter who manages wine service in a hotel or restaurant
somnolent	adjective	Middle English	inclined to or marked by drowsiness
somnolently	adverb	Middle English	in a drowsy manner
sonorous	adjective	Latin	full and loud and deep
sophisticate	noun	Middle English	a worldly-wise person
sopranino	adjective	Italian	higher in range than soprano
sorbefacient	adjective	Latin	inducing or promoting absorption
sorghum	noun	New Latin	made from juice of sweet sorghum
sororal	adjective	Latin	like or characteristic of or befitting a sister
sorrel	adjective	Middle English	of a light brownish color
sortie	noun	French	an operational flight by a single aircraft
soteriology	noun	Greek	the branch of Christian theology that deals with salvation as the effect of a divine agency
soubise	noun	French	veloute sauce with sauteed chopped onions and whipping cream
soutache	noun	French	a narrow braid used as a decorative trimming
spasmolytic	noun	International Scientific Vocabulary	a drug used to relieve or prevent spasms
spatiotemporal	adjective	Latin	existing in both space and time
species	noun	Middle English	a specific kind of something
specious	adjective	Middle English	plausible but false
spectacles	noun	Middle English	optical instrument consisting of a pair of lenses for correcting defective vision
spectacular	adjective	Latin	characteristic of spectacles or drama
speleologist	noun	Latin	a person who explores caves
spelunker	noun	Latin	a person who explores caves
sphagnum	noun	New Latin	any of various pale or ashy mosses of the genus Sphagnum whose decomposed remains form peat
sphericity	noun	Middle English	the roundness of a 3-dimensional object
sphingine	adjective	Latin	resembling a sphinx
sphinx	noun	Latin	one of a number of large stone statues with the body of a lion and the head of a man that were built by the ancient Egyptians
sphygmomanometer	noun	Greek	a pressure gauge for measuring blood pressure
spiccato	noun	Italian	bowing in such a way that the bow bounces lightly off the strings
spinet	noun	Italian	early model harpsichord with only one string per note
spinnaker	noun	origin unknown	a large and usually triangular headsail
spiracle	noun	Middle English	a breathing orifice
spirogyra	noun	New Latin	freshwater algae consisting of minute filaments containing spiral chlorophyll bands
splanchnic	adjective	New Latin	relating to or affecting the viscera
splenetic	adjective	Late Latin	very irritable
splenomegaly	noun	International Scientific Vocabulary	an abnormal enlargement of the spleen
spondylitis	noun	New Latin	inflammation of a spinal joint
sporadic	adjective	Medieval Latin	recurring in scattered and irregular or unpredictable instances
sporadically	adverb	Medieval Latin	in a sporadic manner
sporogenous	adjective	New Latin	producing spores or reproducing by means of spores
sporophore	noun	International Scientific Vocabulary	a spore-bearing branch or organ: the part of the thallus of a sporophyte that develops spores
sporran	noun	Scottish Gaelic	a fur or leather pouch worn at the front of the kilt as part of the traditional dress of Scottish Highlanders
springbok	noun	Afrikaans	a South African gazelle noted for springing lightly into the air
spurious	adjective	Late Latin and Latin	intended to deceive
staccato	adjective	Italian	marked by or composed of disconnected parts or sounds
stalactite	noun	New Latin	a cylinder of calcium carbonate hanging from the roof of a limestone cave
stalagmite	noun	New Latin	a cylinder of calcium carbonate projecting upward from the floor of a limestone cave
stamina	noun	Latin	enduring strength and energy
stanchion	noun	Middle English	any vertical post or rod used as a support
stapes	noun	New Latin	the stirrup-shaped ossicle that transmits sound from the incus to the cochlea
statically	adverb	New Latin	in a static manner
statistics	noun	German	a branch of applied mathematics concerned with the collection and interpretation of quantitative data and the use of probability theory to estimate population parameters
stephanotis	noun	New Latin	any of various evergreen climbing shrubs of the genus Stephanotis having fragrant waxy flowers
sterile	adjective	Middle English	deficient in originality or creativity
sternutation	noun	Middle English	a symptom consisting of the involuntary expulsion of air from the nose
stipend	noun	Middle English	a sum of money allotted on a regular basis
stochastic	adjective	Greek	being or having a random variable
stochastically	adverb	Greek	randomly
stolon	noun	New Latin	a horizontal branch from the base of plant that produces new plants from buds at its tips
strabismus	noun	New Latin	abnormal alignment of one or both eyes
strangulate	verb	Latin	become constricted
stratagem	noun	Italian	a maneuver in a game or conversation
stratosphere	noun	French	the atmospheric layer between the troposphere and the mesosphere
strepsiceros	noun	New Latin	African antelopes: kudus
streptococcus	noun	New Latin	spherical Gram-positive bacteria occurring in pairs or chains
stricture	noun	Middle English	severe criticism
strontium	noun	New Latin	a soft silver-white or yellowish metallic element of the alkali metal group
strychnine	noun	French	an alkaloid plant toxin extracted chiefly from nux vomica
stupefy	verb	Middle English	make senseless or dizzy by or as if by a blow
stygian	adjective	Latin	hellish
stymie	noun	Scots	a thwarting and distressing situation
styptic	adjective	Middle English	tending to check bleeding by contracting the tissues or blood vessels
suasible	adjective	Late Latin	being susceptible to persuasion
subaltern	adjective	Late Latin	inferior in rank or status
subclavian	adjective	New Latin	situated beneath the clavicle
sublimation	noun	Middle English	modifying the natural expression of an impulse or instinct to one that is socially acceptable
suborn	verb	Middle French	induce to commit perjury or give false testimony
subrogate	verb	Middle English	to put in the place of another
subservient	adjective	Latin	compliant and obedient to authority
subsidiary	adjective	Latin	of or relating to or being a subsidy
subsistence	noun	Middle English	minimal resources for subsisting
subterfuge	noun	Late Latin	something intended to misrepresent the true nature of an activity
subterranean	adjective	Latin	lying beyond what is openly revealed or avowed
succedaneum	noun	New Latin	something that can be used as a substitute
succinctly	adverb	Middle English	with concise and precise brevity
succotash	noun	Narragansett	fresh corn and lima beans with butter or cream
succulent	adjective	Latin	full of juice
succumb	verb	French and Latin	be fatally overwhelmed
suffocate	verb	Middle English	feel uncomfortable for lack of fresh air
suffrutescent	adjective	New Latin	of a plant
sulcate	adjective	Latin	having deep narrow furrows or grooves
sultana	noun	Italian	pale yellow seedless grape used for raisins and wine
sumpsimus	noun	Latin	a correct expression that takes the place of a popular but incorrect expression
sumpter	noun	Middle English	an animal used to carry loads
superannuated	adjective	Medieval Latin	old
supercilious	adjective	Latin	expressive of contempt
supererogation	noun	Medieval Latin	an effort above and beyond the call of duty
superficies	noun	Latin	outer surface of an area or a body
superintendent	noun	Medieval Latin	a caretaker for an apartment house
supplicate	verb	Middle English	ask humbly
supposititious	adjective	Latin	based primarily on surmise rather than adequate evidence
surcease	noun	Middle English	a stopping
surfeit	noun	Middle English	the state of being more than full
surrealism	noun	French	a 20th century movement of artists and writers who used fantastic images and incongruous juxtapositions in order to represent unconscious thoughts and dreams
surreptitious	adjective	Middle English	conducted with or marked by hidden aims or methods
surrey	noun	England	a light four-wheeled horse-drawn carriage
surrogate	adjective	Latin	providing or receiving nurture or parental care though not related by blood or legal ties
surtout	noun	French	a man's overcoat in the style of a frock coat
surveillance	noun	French	close observation of a person or group
susceptible	adjective	Late Latin	yielding readily to or capable of
sustenance	noun	Middle English	the act of sustaining life by food or providing a means of subsistence
susurrus	noun	Latin	the indistinct sound of people whispering
suture	noun	Middle English	thread of catgut or silk or wire used by surgeons to stitch tissues together
suzerain	noun	French	a state exercising a degree of dominion over a dependent state especially in its foreign affairs
swivel	noun	Middle English	a coupling that has one end that turns on a headed pin
syllabus	noun	Late Latin	an integrated course of academic studies
syllogism	noun	Middle English	deductive reasoning in which a conclusion is derived from two premises
syllogize	verb	Middle English	reason by syllogisms
sylph	noun	New Latin	an elemental being believed to inhabit the air
symbiosis	noun	New Latin	the relation between two different species of organisms that are interdependent
symposiarch	noun	Greek	the person who proposes toasts and introduces speakers at a banquet
symposium	noun	Latin	a meeting or conference for the public discussion of some topic especially one in which the participants form an audience and make presentations
synchronous	adjective	Late Latin	occurring or existing at the same time or having the same period or phase
syncope	noun	Late Latin	the loss of sounds in the interior of a word
syncretism	noun	New Latin	the fusion of originally different inflected forms
syndic	noun	French	one appointed to represent a city or university or corporation in business transactions
syndicate	noun	French	a loose affiliation of gangsters in charge of organized criminal activities
synecdoche	noun	Latin	substituting a more inclusive term for a less inclusive one or vice versa
synoptic	adjective	Greek	presenting or taking the same point of view
syntax	noun	Middle French or Late Latin	the grammatical arrangement of words in sentences
synthesis	noun	Greek	the combination of ideas into a complex whole
synthetic	adjective	Greek	of a proposition whose truth value is determined by observation or facts
syringe	noun	Middle English	a medical instrument used to inject or withdraw fluids
syzygy	noun	Late Latin	the straight line configuration of 3 celestial bodies in a gravitational system
tabard	noun	Middle English	a short sleeveless outer tunic emblazoned with a coat of arms
tablature	noun	Middle French	a musical notation indicating the fingering to be used
tachometer	noun	Greek	measuring instrument for indicating speed of rotation
tachycardia	noun	New Latin	abnormally rapid heartbeat
tachygraphy	noun	Greek	a method of writing rapidly
tachymeter	noun	International Scientific Vocabulary	a theodolite designed for rapid measurements
taciturn	adjective	French or Latin	habitually reserved and uncommunicative
taciturnity	noun	French or Latin	the trait of being uncommunicative
tagliatelle	noun	Italian	pasta cut in narrow ribbons
talapoin	noun	French	smallest guenon monkey
talaria	noun	Latin	a winged sandal
talipes	noun	New Latin	congenital deformity of the foot usually marked by a curled shape or twisted position of the ankle and heel and toes
talipot	noun	Bengali	tall palm of southern India and Sri Lanka with gigantic leaves used as umbrellas and fans or cut into strips for writing paper
Talmud	noun	Late Hebrew	the collection of ancient rabbinic writings on Jewish law and tradition that constitute the basis of religious authority in Orthodox Judaism
taloned	adjective	Middle English	of animals
tamarack	noun	origin unknown	medium-sized larch of Canada and northern United States including Alaska having a broad conic crown and rust-brown scaly bark
tamarind	noun	Spanish and Portuguese	large tropical seed pod with very tangy pulp that is eaten fresh or cooked with rice and fish or preserved for curries and chutneys
tamarisk	noun	Middle English	any shrub or small tree of the genus Tamarix having small scalelike or needle-shaped leaves and feathery racemes of small white or pinkish flowers
tambourine	noun	Middle French	a shallow drum with a single drumhead and with metallic disks in the sides
tangible	adjective	Late Latin	perceptible by the senses especially the sense of touch
taphephobia	noun	New Latin	a morbid fear of being buried alive
tarragon	noun	Middle French	fresh leaves used as seasoning
tarsus	noun	New Latin	the part of the foot of a vertebrate between the metatarsus and the leg
tartar	noun	Middle English	an incrustation that forms on the teeth and gums
tassel	noun	Middle English	adornment consisting of a bunch of cords fastened at one end
tatterdemalion	adjective	origin unknown	in deplorable condition
taupe	adjective	French	of something having a dusky brownish grey color
